TERRA_chr1p	0
TERRA_chr1q	26
TERRA_chr2p	0
TERRA_chr2q	0
TERRA_chr3p	0
TERRA_chr3q	16
TERRA_chr4p	0
TERRA_chr4q	25
TERRA_chr5p	1
TERRA_chr5q	8
TERRA_chr6p	0
TERRA_chr6q	0
TERRA_chr7p	17
TERRA_chr7q	0
TERRA_chr8p	63
TERRA_chr9p	0
TERRA_chr9q	2
TERRA_chr10p	0
TERRA_chr10q	34
TERRA_chr11p	0
TERRA_chr11q	0
TERRA_chr12p	2
TERRA_chr13q	942
TERRA_chr14q	0
TERRA_chr15p	0
TERRA_chr15q	8
TERRA_chr16p	0
TERRA_chr16q	28
TERRA_chr17p	0
TERRA_chr17q	36
TERRA_chr18p	0
TERRA_chr18q	0
TERRA_chr19p	7
TERRA_chr19q	0
TERRA_chr20p	3058
TERRA_chr20q	13
TERRA_chr21q	53
TERRA_chr22q	10
TERRA_chrXq	4
