TERRA_chr1p	0
TERRA_chr1q	10
TERRA_chr2p	0
TERRA_chr2q	0
TERRA_chr3p	0
TERRA_chr3q	20
TERRA_chr4p	0
TERRA_chr4q	118
TERRA_chr5p	0
TERRA_chr5q	14
TERRA_chr6p	0
TERRA_chr6q	0
TERRA_chr7p	0
TERRA_chr7q	0
TERRA_chr8p	79
TERRA_chr9p	0
TERRA_chr9q	0
TERRA_chr10p	0
TERRA_chr10q	12
TERRA_chr11p	0
TERRA_chr11q	0
TERRA_chr12p	2
TERRA_chr13q	4
TERRA_chr14q	0
TERRA_chr15p	2
TERRA_chr15q	101608
TERRA_chr16p	0
TERRA_chr16q	20
TERRA_chr17p	0
TERRA_chr17q	0
TERRA_chr18p	0
TERRA_chr18q	0
TERRA_chr19p	62
TERRA_chr19q	0
TERRA_chr20p	0
TERRA_chr20q	18
TERRA_chr21q	0
TERRA_chr22q	8
TERRA_chrXq	14
