TERRA_chr1p	0
TERRA_chr1q	496
TERRA_chr2p	0
TERRA_chr2q	0
TERRA_chr3p	3
TERRA_chr3q	14
TERRA_chr4p	64
TERRA_chr4q	18365
TERRA_chr5p	2
TERRA_chr5q	24
TERRA_chr6p	0
TERRA_chr6q	6
TERRA_chr7p	43725
TERRA_chr7q	0
TERRA_chr8p	1583462
TERRA_chr9p	8
TERRA_chr9q	1342
TERRA_chr10p	2
TERRA_chr10q	431422
TERRA_chr11p	0
TERRA_chr11q	0
TERRA_chr12p	118
TERRA_chr13q	626
TERRA_chr14q	0
TERRA_chr15p	2
TERRA_chr15q	2
TERRA_chr16p	0
TERRA_chr16q	819670
TERRA_chr17p	26
TERRA_chr17q	5
TERRA_chr18p	0
TERRA_chr18q	30
TERRA_chr19p	206
TERRA_chr19q	0
TERRA_chr20p	42
TERRA_chr20q	5695
TERRA_chr21q	77104
TERRA_chr22q	667
TERRA_chrXq	6730
